,Dec,Name,Proj1,Proj2,RA
118,-3.024364,SDSSJ115503.28-030127.7,51.782772,36.077568,178.763693
119,-2.7772,SDSSJ115417.99-024637.9,-40.358337,8.813161,178.574975
120,-2.080594,SDSSJ115104.26-020450.1,65.890724,2.7885146,177.767769
121,-2.8768029999999998,SDSSJ115727.04-025236.4,22.375364,19.210318,179.362699
122,-1.911843,SDSSJ115851.18-015442.6,-41.39015,29.672148,179.713289
123,-1.764586,SDSSJ115916.39-014552.5,-50.200886,46.28335,179.818333
124,-1.6865689999999998,SDSSJ120331.10-014111.6,-22.130688,6.682695,180.87958999999998
125,-1.9036830000000002,SDSSJ120335.34-015413.2,-22.894571,-25.135838,180.897272
126,-1.573511,SDSSJ120508.03-013424.6,-52.717655,-6.6436667,181.28346499999998
127,-2.679426,SDSSJ121222.60-024045.9,-8.366313,-18.456844,183.094186
128,-1.9544279999999998,SDSSJ121225.56-015715.9,-6.446769,-0.7592009,183.106525
129,-2.798269,SDSSJ121717.81-024753.7,-28.377005,5.8294144,184.32423400000002
130,-2.9028959999999997,SDSSJ121415.60-025410.4,-45.436623,8.323798,183.56503
131,-2.4863939999999998,SDSSJ121453.20-022911.0,64.19288,-38.94447,183.72169
132,-3.077572,SDSSJ122836.92-030439.2,30.138245,15.283732,187.153837
133,-2.280245,SDSSJ122232.17-021648.8,-50.20797,-22.573915,185.634048
134,-3.5249919999999997,SDSSJ123602.34-033129.9,-12.547268,56.7111,189.009757
135,-2.584254,SDSSJ123558.55-023503.3,5.6534395,42.663517,188.99396299999998
136,-2.072495,SDSSJ123643.12-020420.9,-42.07335,-61.40454,189.179684
137,-2.940509,SDSSJ124012.10-025625.8,5.866455,-22.878162,190.050421
138,-2.1642419999999998,SDSSJ124607.10-020951.2,-42.27414,32.04156,191.529585
139,-3.397207,SDSSJ125209.26-032349.9,-58.225586,7.554048,193.038598
140,-1.569498,SDSSJ124949.09-013410.1,-38.71275,40.591187,192.45456000000001
141,-1.9771610000000002,SDSSJ125334.77-015837.7,26.273005,27.962387,193.394892
142,-3.425877,SDSSJ130059.51-032533.1,-40.245647,4.538539,195.247983
143,-1.272658,SDSSJ125638.39-011621.5,-43.74837,-42.344967,194.15995900000001
144,-1.543046,SDSSJ125923.50-013234.9,-62.67506,-24.192621,194.847941
145,-1.236374,SDSSJ130153.78-011410.9,11.298067,-12.56025,195.474104
146,-2.972228,SDSSJ130842.17-025820.0,-1.0787634,-12.583935,197.175746
147,-3.161135,SDSSJ130655.34-030940.0,-13.902695,37.235455,196.730606
148,-2.80441,SDSSJ130554.08-024815.8,-65.62305,29.827414,196.475357
149,-3.164972,SDSSJ130631.17-030953.8,-68.97812,30.877066,196.629907
150,-2.782618,SDSSJ130554.09-024657.4,33.594868,-22.504068,196.475416
151,-2.263225,SDSSJ130138.55-021547.6,11.210299,7.367899,195.410625
152,-3.1317909999999998,SDSSJ132235.39-030754.4,36.506413,24.461979,200.6475
153,-3.445503,SDSSJ132139.31-032643.8,2.2559474,68.623375,200.413814
154,-2.428704,SDSSJ131952.38-022543.3,6.759643,-3.3785264,199.96826299999998
155,-2.297129,SDSSJ132307.11-021749.6,-47.335644,10.248952,200.779644
156,-0.960362,SDSSJ155018.76-005737.3,-2.1311405,-34.73116,237.57817400000002
157,-0.8819049999999999,SDSSJ154900.45-005254.8,-41.43224,0.7091841,237.251915
158,-0.335282,SDSSJ160011.34-002007.0,8.996614,-9.26282,240.04726200000002
159,0.33464099999999997,SDSSJ155639.19+002004.7,-30.492947,40.90366,239.163318
160,0.993872,SDSSJ155851.86+005937.9,15.445005,-10.5576,239.716102
161,0.248531,SDSSJ160208.68+001454.7,34.110744,-57.844448,240.536175
162,-0.964109,SDSSJ161047.60-005750.7,24.143526,-24.720848,242.69836
163,-0.644612,SDSSJ161013.75-003840.6,-61.60735,0.037088662,242.55732200000003
164,1.190244,SDSSJ161015.01+011124.8,-38.03729,-6.3076015,242.56254199999998
165,1.07647,SDSSJ161211.67+010435.2,64.44801,3.2910342,243.04866
166,-0.945067,SDSSJ161837.14-005642.2,35.60036,-12.018858,244.65475099999998
167,1.037318,SDSSJ161531.16+010214.3,-36.785892,-10.440952,243.87987400000003
168,0.47423999999999994,SDSSJ161717.83+002827.2,18.981106,-64.45576,244.324319
169,0.174559,SDSSJ161836.01+001028.4,-31.315672,-43.955948,244.65007599999998
170,1.116358,SDSSJ161819.37+010658.8,-64.92989,-37.809338,244.580742
171,63.323083,SDSSJ170017.85+631923.0,59.15652,-25.539564,255.07440499999998
172,62.274343,SDSSJ165453.23+621627.6,26.074856,-34.58534,253.721815
173,62.670255000000004,SDSSJ165002.49+624012.9,16.783365,44.600857,252.510402
174,63.960474,SDSSJ165422.86+635737.7,-30.846579,38.93689,253.595263
175,63.878634999999996,SDSSJ170113.93+635243.0,-24.919914,-3.1781628,255.30806099999998
176,64.732612,SDSSJ172200.13+644357.4,24.144583,-44.78842,260.50055
177,65.52675500000001,SDSSJ171653.34+653136.3,-66.616875,-39.044178,259.222254
178,64.856825,SDSSJ171459.50+645124.5,-48.677414,-38.310463,258.74793999999997
179,58.51290899999999,SDSSJ171307.41+583046.4,64.60325,-1.1910554,258.28087999999997
180,59.178148,SDSSJ170700.46+591041.3,32.729965,-54.36692,256.751939
181,59.260736,SDSSJ170220.06+591538.6,21.0561,-63.598248,255.583593
182,60.061558,SDSSJ170011.19+600341.6,23.29975,-71.65334,255.04663
183,59.976462,SDSSJ170804.23+595835.2,-3.5577412,31.584969,257.017649
184,59.880843999999996,SDSSJ172522.05+595251.0,-21.289268,69.500404,261.34191
185,60.586884,SDSSJ172858.16+603512.7,-13.963356,-45.666103,262.242337
186,61.329081,SDSSJ171419.23+611944.6,-47.960945,-49.57319,258.580146
187,62.3135,SDSSJ172924.54+621848.5,32.38525,31.220259,262.352265
188,56.776194,SDSSJ171609.32+564634.2,22.763218,-25.196686,259.038844
189,57.278847999999996,SDSSJ171152.07+571643.8,-25.521814,-25.53301,257.966982
190,57.607420999999995,SDSSJ171522.17+573626.7,-42.19256,-61.672005,258.84238
191,58.135771999999996,SDSSJ171857.51+580808.7,65.6897,-14.313924,259.73964700000005
192,56.050102,SDSSJ173815.63+560300.3,-58.843792,-38.466087,264.565162
193,56.199302,SDSSJ172928.38+561157.4,-62.958286,-8.550006,262.36827400000004
194,55.839940000000006,SDSSJ172803.81+555023.7,-47.051903,68.81855,262.015889
195,56.666041,SDSSJ172840.01+563957.7,-35.65274,-61.224197,262.166727
196,56.96838100000001,SDSSJ173435.98+565806.1,1.7271667,-2.2928777,263.649934
197,57.518328000000004,SDSSJ173559.96+573105.9,-15.454721,76.91662,263.999858
198,56.93084,SDSSJ173911.52+565551.0,17.960756,64.79734,264.79801299999997
199,53.109531999999994,SDSSJ172739.18+530634.3,-40.83459,-37.228905,261.913278
200,53.408333,SDSSJ172510.34+532429.9,-47.877808,44.913902,261.29308599999996
201,-0.15024400000000002,SDSSJ162852.23-000900.8,46.880615,-34.075058,247.21765299999998
202,-0.321691,SDSSJ162335.01-001918.0,50.764977,-55.058258,245.89588799999999
203,0.484971,SDSSJ162103.98+002905.8,-31.854698,56.12316,245.266615
204,0.229161,SDSSJ162120.01+001344.9,21.992937,66.068016,245.333412
205,0.6896220000000001,SDSSJ162709.93+004122.6,68.66134,-29.287235,246.79138799999998
206,57.966949,SDSSJ173314.15+575801.0,11.805227,39.809696,263.308973
207,57.841522999999995,SDSSJ172122.82+575029.4,-44.79447,20.474989,260.34511499999996
208,-1.149699,SDSSJ215445.23-010858.9,-33.349426,54.1662,328.688483
209,-0.805593,SDSSJ215415.55-004820.1,80.42266,-8.064713,328.564831
210,-1.107523,SDSSJ215057.88-010627.0,50.90139,-36.922134,327.741192
211,0.889749,SDSSJ215151.61+005323.0,50.707085,-32.273907,327.965054
212,-0.369852,SDSSJ220330.04-002211.4,-32.981384,-21.799208,330.87516800000003
213,-0.363942,SDSSJ215954.45-002150.1,-23.883371,-49.730793,329.976916
214,0.456736,SDSSJ215800.38+002724.2,35.18055,57.975677,329.501589
215,-0.747275,SDSSJ220348.68-004450.1,-42.49049,17.121326,330.952873
216,-0.445934,SDSSJ220335.36-002645.3,-48.888744,12.948286,330.89736
217,0.581616,SDSSJ220305.83+003453.8,-15.72882,-24.789669,330.77429900000004
218,1.0082209999999998,SDSSJ221709.80+010029.5,-16.47531,55.720898,334.290869
219,-0.11898199999999999,SDSSJ222423.35-000708.3,62.5061,-36.505417,336.09731899999997
220,-0.14412,SDSSJ221906.86-000838.8,15.775077,-63.64182,334.778618
221,1.189871,SDSSJ222417.27+011123.5,27.313375,-49.136787,336.071982
222,0.755548,SDSSJ222645.57+004519.9,48.204044,19.707006,336.689877
223,-1.18118,SDSSJ222704.86-011052.2,-14.018917,-15.406882,336.770252
224,0.485519,SDSSJ222556.09+002907.8,-51.969883,-20.036665,336.483737
225,0.06801900000000001,SDSSJ222856.71+000404.8,-2.7224176,44.58783,337.23631
226,-0.044366,SDSSJ230956.00-000239.7,11.059519,34.703995,347.48337200000003
227,-0.665513,SDSSJ230842.20-003955.8,19.103779,46.867573,347.175854
228,1.196628,SDSSJ232519.33+011147.8,-3.4791741,55.570396,351.33056
