col1,Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,_RAJ2000,_DEJ2000,SDSS,RAJ2000,DEJ2000,Plate,MJD,Fiber,z,r_z,DR12,Separation_1a,RAdeg,DEdeg,Speak,e_Speak,Sint,e_Sint,Separation
2403,SDSSJ123409.83+544926.6,188.540994,54.824071,123409.83+544926.6,188.541000366211,54.8240699768066,1.74240005016327,3.0,1.0,1,-26.7905545171356,0.0,0.0,0.0,-26.9796301852456,-1.0,45.9301002505964,46.21339901423929,0.0137072143647717,188.541,54.82407,123409.84+544926.6,188.541,54.82407,1020,52721,158,1.7424,DR7Q,DR12,0.012953811651080586,188.5411,54.8241,1.2,0.1,1.3,0.1,0.25762052634242905
2222,SDSSJ114046.57+493312.8,175.194051,49.55356,114046.57+493312.8,175.194046020508,49.5535583496094,1.8746999502182,1048579.0,1.0,1,-26.4980914685103,0.0,0.0,0.0,-27.1682240910244,-1.0,45.8508035596812,46.0569966826253,0.0130591942995442,175.19404611,49.55355806,114046.57+493312.8,175.194046,49.553558,967,52636,467,1.8747,DR7Q,DR12,0.01371854663461198,,,,,,,
2223,SDSSJ114305.93+493542.7,175.774725,49.595208,114305.93+493542.7,175.774719238281,49.5952072143555,1.69519996643066,3.0,1.0,1,-26.685157489663,0.0,0.0,0.0,-26.9168911709495,-1.0,45.9966804909201,46.3097728993727,0.0137390167770086,175.77471889,49.59520694,114305.93+493542.7,175.774719,49.595207,967,52636,520,1.6952,DR7Q,DR12,0.014456190320213492,,,,,,,
3470,SDSSJ121644.34+474111.0,184.184765,47.686409,121644.34+474111.0,184.184768676758,47.686408996582,1.86849999427795,1048579.0,1.0,1,-26.5272744790482,0.0,0.0,0.0,-27.0434966589405,-1.0,45.919554496957296,46.2274997593438,0.0089105449416866,184.18476889,47.68640889,121644.34+474111.0,184.184769,47.686409,1451,53117,426,1.8685,DR7Q,DR12,0.009693906323662247,184.1848,47.6864,0.5,0.1,0.5,0.1,0.08730606002926282
2224,SDSSJ115216.59+501622.1,178.069163,50.272823,115216.59+501622.1,178.06916809082,50.2728233337402,1.96449995040894,3.0,1.0,1,-27.7324641914337,1.0,0.0,0.0,-26.8167300513358,-1.0,46.2005691042199,45.9933526768668,0.0117748120798885,178.06917389,50.27282,115216.60+501622.1,178.069174,50.27282,7403,57071,918,1.969,VI,DR12,0.0275176063379003,,,,,,,
2225,SDSSJ115221.42+504437.1,178.089285,50.743651,115221.42+504437.1,178.089279174805,50.74365234375,1.84150004386902,1048579.0,1.0,1,-27.2061069271854,0.0,0.0,0.0,-26.8652410267842,-1.0,46.128742970697694,46.1313373529613,0.014124315609752,178.08927889,50.74365194,115221.42+504437.1,178.089279,50.743652,968,52412,409,1.8415,DR7Q,DR12,0.01413442979832409,,,,,,,
2228,SDSSJ120554.84+494236.3,181.478533,49.710092,120554.84+494236.3,181.478530883789,49.710090637207,1.66600000858307,1048578.0,1.0,1,-26.4024599147859,0.0,0.0,0.0,-27.0439752141861,-1.0,45.8385926735733,46.1023633479493,0.0069526482364845,181.47853111,49.71009111,120554.84+494236.3,181.478531,49.710091,969,52442,180,1.666,DR7Q,DR12,0.005885370318859679,,,,,,,
2229,SDSSJ120034.49+510730.8,180.143728,51.125234,120034.49+510730.8,180.14372253418,51.1252326965332,1.68970000743866,1048579.0,1.0,1,-27.5232230372932,0.0,0.0,0.0,-26.6060018551941,-1.0,46.2764816405066,46.5051368274108,0.0132111065662988,180.14371111,51.12523194,120034.49+510730.8,180.143711,51.125232,8225,57375,660,1.687048,AUTO,DR12,0.03907935194262305,,,,,,,
2521,SDSSJ140812.95+561332.5,212.05397,56.225695,140812.95+561332.5,212.053970336914,56.2256965637207,2.02020001411438,3145738.0,1.0,1,-27.1642218318123,0.0,1.0,279.002745545091,-26.8559470409656,2002.42158446339,46.1729846372372,46.4145591743973,0.0056696320606836,212.05397,56.22569694,140812.95+561332.5,212.05397,56.225697,1159,52669,44,2.0202,DR7Q,DR12,0.007199999982668837,212.0541,56.2257,33.3,0.1,38.3,0.4,0.24574029204382228
2231,SDSSJ121255.00+505123.6,183.229205,50.856581,121255.00+505123.6,183.229202270508,50.8565826416016,1.87849998474121,3.0,1.0,1,-26.6727016265064,0.0,0.0,0.0,-27.0106400109082,-1.0,45.996581429227504,46.071842355157,0.0085674599214064,183.22920194,50.85658306,121255.00+505123.6,183.229202,50.856583,970,52413,374,1.8785,DR7Q,DR12,0.009915660598511405,,,,,,,
2235,SDSSJ122557.83+503441.3,186.49096,50.578142,122557.83+503441.3,186.490966796875,50.5781402587891,2.08680009841919,11.0,1.0,1,-27.3411843679055,0.0,1.0,10.0113783276834,-26.8757348770325,75.201889140632,46.1968036382553,46.3014837454942,0.0167550084273537,186.49096694,50.57814,122557.83+503441.3,186.490967,50.57814,971,52644,429,2.0868,DR7Q,DR12,0.017547774444630775,,,,,,,
2374,SDSSJ105150.54+522847.2,162.960621,52.4798,105150.54+522847.2,162.96061706543,52.479801177978494,1.853600025177,1.34224899E8,1.0,1,-27.731256974755,0.0,0.0,0.0,-26.57001029996,-1.0,46.3987460860449,46.5720615653363,0.0096127137840605,162.9606,52.47980306,105150.54+522847.2,162.9606,52.479803,6706,56385,531,1.856,VI,DR12,0.04729317456000279,,,,,,,
2375,SDSSJ104446.00+521742.8,161.191688,52.295243,104446.00+521742.8,161.191680908203,52.2952423095703,1.75129997730255,3.0,1.0,1,-26.4028620175441,0.0,0.0,0.0,-27.1099220284558,-1.0,45.781470608625,46.0340056376364,0.0158108419200754,161.19168111,52.29524194,104446.00+521742.8,161.191681,52.295242,1010,52649,182,1.7513,DR7Q,DR12,0.0158270012173167,,,,,,,
2379,SDSSJ104852.00+530747.2,162.216678,53.129779,104852.00+530747.2,162.216674804688,53.1297798156738,1.67920005321503,1048578.0,1.0,1,-26.2072802555165,0.0,0.0,0.0,-27.1705080547093,-1.0,45.7081545296336,45.9324490057077,0.0075006127098461,162.216675,53.12978,104852.00+530747.2,162.216675,53.12978,1010,52649,509,1.6792,DR7Q,DR12,0.007412896230177802,,,,,,,
1842,SDSSJ113513.72+513327.2,173.807178,51.557556,113513.72+513327.2,173.807174682617,51.5575561523438,1.65639996528625,1048579.0,1.0,1,-26.7957387544056,0.0,0.0,0.0,-26.7544621554149,-1.0,46.1143021696131,46.33333457983,0.0074452642394522,173.807175,51.55755611,113513.72+513327.2,173.807175,51.557556,880,52367,261,1.6564,DR7Q,DR12,0.0067146640991891035,173.8074,51.5574,0.4,0.1,0.4,0.1,0.7558405557785928
2380,SDSSJ105053.91+531131.9,162.724626,53.192202,105053.91+531131.9,162.724624633789,53.192203521728494,1.73109996318817,1048579.0,1.0,1,-26.5112182300132,0.0,0.0,0.0,-27.0434832715922,-1.0,45.8664538075003,46.100118620089,0.006220470592116,162.724625,53.19220389,105053.90+531131.9,162.724625,53.192204,1010,52649,548,1.7311,DR7Q,DR12,0.007516123941166378,,,,,,,
2381,SDSSJ110924.71+530359.8,167.352996,53.066634,110924.71+530359.8,167.352996826172,53.0666351318359,2.04119992256165,2.0,1.0,1,-27.1366628733978,0.0,0.0,0.0,-26.8773126646347,-1.0,46.1626206623622,46.2098433360946,0.0044493149632078,167.35299694,53.066635,110924.71+530359.8,167.352997,53.066635,1011,52652,30,2.0412,DR7Q,DR12,0.004199926935416208,,,,,,,
2866,SDSSJ142123.06+464547.9,215.346123,46.763326,142123.06+464547.9,215.346130371094,46.7633247375488,1.66939997673035,3145738.0,1.0,1,-27.3801523778804,0.0,1.0,88.2228116342558,-26.6727849970737,415.303787261145,46.2439738894008,46.2995690611092,0.0187370251634348,215.34613,46.763325,142123.07+464547.9,215.34613,46.763325,1287,52728,448,1.6694,DR7Q,DR12,0.017633730511100818,215.3461,46.7633,33.5,0.1,37.7,0.3,0.10400543256395525
