name,redshift_1,RAx,DECx,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLG
SDSSJ075101.83+421227.8,1.739442,117.75762499999999,42.20772222222224,,,
SDSSJ075350.56+424743.9,1.527614,118.4606666666667,42.79552777777777,1048580,0,1
SDSSJ075235.07+470732.2,2.390061,118.146125,47.125611111111105,,,
SDSSJ074846.96+474225.8,1.569832,117.19566666666665,47.70716666666666,,,
SDSSJ075630.60+483228.7,2.378825,119.1275,48.54130555555555,1,1,1
SDSSJ075214.15+433452.3,2.177634,118.05895833333336,43.581194444444435,34603008,0,0
SDSSJ075104.11+434134.4,2.218399,117.76712500000001,43.69288888888889,,,
SDSSJ075121.36+425651.6,2.236429,117.83900000000006,42.947666666666656,,,
SDSSJ074850.01+444825.1,2.053988,117.20837499999999,44.806972222222214,,,
SDSSJ075316.77+444823.4,1.66658,118.31987500000001,44.80650000000001,,,
SDSSJ075653.99+435233.9,1.885563,119.22495833333336,43.87608333333333,1048580,0,1
SDSSJ074953.76+495549.3,2.2925,117.47400000000002,49.9303611111111,2,1,1
SDSSJ074931.76+503754.6,1.959237,117.38233333333334,50.631833333333326,,,
SDSSJ075215.37+463523.9,2.272665,118.0640416666667,46.58997222222223,,,
SDSSJ075323.85+454852.0,2.232308,118.34937500000001,45.814444444444426,,,
SDSSJ075617.22+462845.8,2.29174,119.07175000000001,46.47938888888888,,,
SDSSJ080351.61+512642.9,2.398765,120.96504166666672,51.44524999999999,,,
SDSSJ075948.31+510538.8,2.386451,119.95129166666668,51.0941111111111,2,1,1
SDSSJ075549.01+504248.6,2.276183,118.95420833333337,50.71349999999999,,,
SDSSJ075130.68+512220.7,2.29002,117.87783333333333,51.372416666666666,,,
SDSSJ075131.00+502654.3,2.291991,117.87916666666665,50.44841666666666,2,1,1
SDSSJ074938.98+513124.4,2.358228,117.41241666666669,51.52344444444446,,,
SDSSJ074835.90+512605.7,2.326602,117.14958333333331,51.43491666666667,,,
SDSSJ075124.20+520944.4,2.324962,117.85083333333334,52.16233333333333,,,
SDSSJ075148.92+515136.4,2.40676,117.95383333333335,51.8601111111111,,,
SDSSJ080052.76+410316.3,2.148379,120.21983333333333,41.05452777777778,,,
SDSSJ075941.34+403404.6,2.25561,119.92225,40.56794444444444,,,
SDSSJ075621.88+395855.2,2.309747,119.09116666666671,39.982,1048580,0,1
SDSSJ075646.72+415851.8,2.250591,119.1946666666667,41.98105555555555,5,0,1
SDSSJ075816.50+455506.1,2.258499,119.56875000000001,45.91836111111112,,,
SDSSJ075846.50+461652.3,2.354825,119.69375,46.281194444444445,,,
SDSSJ075549.84+473442.9,2.218481,118.95766666666668,47.57858333333332,,,
SDSSJ075604.19+474033.1,2.366773,119.01745833333332,47.67586111111111,,,
SDSSJ075650.39+482450.0,1.900841,119.20995833333332,48.41388888888889,1048579,1,1
SDSSJ075956.02+480642.1,2.176374,119.9834166666667,48.111694444444446,,,
SDSSJ080059.32+482243.3,2.294739,120.24716666666669,48.37869444444443,,,
SDSSJ080321.35+472824.4,2.33441,120.83895833333331,47.47344444444442,,,
SDSSJ075530.21+522628.9,2.242157,118.87587499999998,52.44136111111111,1048578,1,1
SDSSJ075157.79+530436.5,2.348899,117.99079166666665,53.076805555555545,,,
SDSSJ075934.16+530505.4,2.256237,119.89233333333334,53.08483333333333,2,1,1
SDSSJ080139.99+532044.8,2.36384,120.41662500000001,53.34577777777777,2,1,1
SDSSJ080351.91+543759.8,2.222123,120.96629166666666,54.63327777777778,1048579,1,1
SDSSJ080620.01+423124.2,2.39522,121.583375,42.52338888888889,1,0,1
SDSSJ080419.04+423948.1,2.379456,121.07933333333331,42.6633611111111,,,
SDSSJ075945.74+422718.6,1.857981,119.94058333333334,42.45516666666665,,,
SDSSJ075600.04+430713.0,2.326996,119.00016666666669,43.12027777777777,1048580,0,1
SDSSJ080249.88+433611.9,2.213,120.70783333333334,43.60330555555556,34603008,0,0
SDSSJ080511.48+433024.2,2.313657,121.29783333333332,43.506722222222216,4,0,1
SDSSJ075433.84+434700.0,2.111317,118.64099999999998,43.783333333333324,,,
SDSSJ075635.22+434124.8,2.38062,119.14675,43.690222222222225,4,0,1
SDSSJ080036.01+501044.3,1.624835,120.1500416666667,50.17897222222222,10,1,1
SDSSJ080111.19+500241.1,2.185088,120.29662499999996,50.04474999999999,2,1,1
SDSSJ080931.06+485041.1,1.861498,122.37941666666664,48.84475000000001,,,
SDSSJ081127.44+461812.9,2.262942,122.86433333333332,46.30358333333333,1048580,0,1
