 00 59 06.72,+14 43 20.5,-0.00050
 00 54 26.16,+14 35 06.8,-0.00006
 00 50 31.91,+14 11 33.5, 0.00113
 00 50 10.72,+13 49 49.0, 0.00035
 00 53 20.83,+15 27 24.3,-0.00016
 00 54 06.69,+16 00 31.9,-0.00051
 01 05 23.24,+14 09 30.3, 0.00006
 01 03 32.31,+13 32 33.6,-0.00014
 01 01 46.76,+13 54 48.8, 0.00037
 01 01 55.20,+13 51 37.8, 0.00053
 01 00 28.36,+13 32 59.2, 0.00087
 00 56 00.21,+14 14 55.3, 0.00004
 01 03 49.29,+15 01 42.7,-0.00017
 01 17 31.28,+13 52 38.9, 0.00065
 01 15 40.68,+13 57 09.3,-0.00156
 01 13 58.28,+14 55 56.3,-0.00025
 01 17 21.27,+15 15 42.9,-0.00036
 01 18 00.72,+15 10 06.5,-0.00020
 01 22 01.20,+14 29 48.8,-0.00059
 01 22 12.38,+13 28 25.4,-0.00025
 01 18 47.53,+15 04 25.9,-0.00095
 01 20 17.91,+14 42 41.5, 0.00004
 01 21 44.84,+14 44 07.9,-0.00102
 01 25 37.61,+15 28 31.7, 0.00027
 01 40 23.83,+14 11 51.8, 0.00077
 02 07 31.47,+13 13 46.4, 0.00025
 02 03 13.93,+12 47 02.8,-0.00032
 02 01 03.08,+12 27 28.1, 0.00040
 02 00 44.51,+12 23 19.1, 0.00034
 02 00 25.52,+14 31 20.3, 0.00085
 02 01 41.61,+14 50 26.6,-0.00110
 02 03 57.97,+14 07 46.0, 0.03262
 02 14 05.24,+12 53 49.0, 0.00002
 02 08 05.70,+14 05 14.9,-0.00028
 02 12 42.36,+13 31 11.8,-0.00004
 02 12 50.49,+14 09 23.4, 0.00101
 01 42 57.72,+15 00 13.0, 0.00007
 01 42 40.88,+14 38 40.1,-0.00024
 01 42 23.87,+14 20 51.4,-0.00035
 01 45 17.82,+13 56 02.3, 0.00009
 01 50 14.17,+14 27 16.8,-0.00024
 01 53 12.91,+12 54 22.8, 0.00047
 01 55 46.50,+14 42 46.2, 0.00037
 01 52 37.25,+14 03 25.7,-0.00002
 07 34 53.17,+36 38 40.7, 0.00069
 07 35 06.59,+37 40 14.1,-0.00079
 07 34 03.52,+37 21 20.3,-0.00020
 07 33 14.24,+37 37 13.4, 0.00050
 07 31 35.77,+36 24 59.7, 0.00021
