 08 54 53.97,+01 34 23.9, 0.00001
 15 57 45.39,+04 57 29.1, 0.01221
 12 38 00.52,+59 53 24.2, 0.00098
 11 33 45.63,+01 58 13.5, 0.00229
 15 40 52.44,+56 11 04.7, 0.00070
 09 08 04.86,+12 14 56.3, 0.00057
 15 04 24.98,+11 29 39.2, 0.00041
 08 08 20.74,+07 04 33.9, 0.00050
 10 59 59.85,+63 49 29.6,-0.00077
 12 22 23.54,+51 31 15.5, 0.00002
 08 58 18.80,+02 51 00.7, 0.00026
 12 25 37.31,+65 12 08.7, 0.00076
 12 35 47.37,+61 49 52.3,-0.00042
 12 45 39.14,+37 33 01.2, 0.00075
 08 49 01.65,+59 50 28.2,-0.00019
 08 22 18.07,+17 58 23.5,-0.00045
 13 30 14.11,+35 46 21.4, 0.00071
 15 27 01.00,+27 42 13.0,-0.00079
 08 12 31.68,+07 21 45.1, 0.00025
 09 45 35.51,+01 08 42.5,-0.00058
 11 17 19.51,+47 20 08.4,-0.00048
 14 35 35.74,+13 06 28.4,-0.00015
 12 16 58.89,+19 11 08.1, 0.00014
 08 29 10.25,+48 05 16.4,-0.00012
 15 41 17.39,+55 52 39.3,-0.00006
 09 40 31.59,+30 12 27.2, 0.00073
 12 17 40.44,+58 44 49.7,-0.00001
 00 43 24.47,-09 39 22.3,-0.00008
 12 15 25.98,+17 34 12.7, 0.00009
 15 55 30.61,+11 01 33.4,-0.00051
 14 36 28.46,+00 21 19.8,-0.00020
 10 58 25.15,+61 26 20.0, 0.00014
 13 33 08.51,+13 21 01.9, 0.00068
 07 43 51.96,+34 49 57.5,-0.00007
 12 40 32.97,+68 48 10.8,-0.00050
 15 47 13.65,+11 31 44.4, 0.00060
 11 06 16.41,+60 20 23.6,-0.00038
 13 37 09.35,+12 40 12.2, 0.00020
 11 13 19.94,+02 05 08.9, 0.00061
 07 48 34.09,+36 44 34.1,-0.00007
 12 46 15.77,+68 30 32.7,-0.00024
 10 44 23.02,+65 03 59.4,-0.00009
 13 53 29.70,+04 12 49.5, 0.00510
 08 34 01.71,+17 23 58.6,-0.00098
 11 23 28.99,+35 20 51.8,-0.00035
 11 06 49.16,+16 12 16.5,-0.00104
 00 48 11.17,-08 07 05.4, 0.00062
 10 56 25.15,+22 35 10.2,-0.00019
 11 22 31.71,+61 56 10.2, 0.00020
 08 20 37.93,+16 02 35.5,-0.00049
 08 11 14.88,+07 06 31.7, 0.00015
 11 16 25.11,+59 06 57.9, 0.00023
 14 19 15.99,+17 35 04.6, 0.00003
 13 14 50.45,+35 31 11.8, 0.00014
 12 17 05.05,+17 24 30.1,-0.00076
 15 59 57.81,+16 01 33.5,-0.00004
 14 00 08.60,+02 54 35.5,-0.00004
 12 42 34.51,+60 41 45.4, 0.00024
 11 37 23.75,+59 31 50.5,-0.00030
 09 32 42.69,+29 54 52.4,-0.00050
 13 20 33.74,+37 16 04.1,-0.00109
 09 31 29.93,+50 02 40.8, 0.00042
 15 12 26.01,+11 27 26.6,-0.00053
 11 08 03.07,+53 03 15.1,-0.00069
 16 07 12.15,+13 42 01.3,-0.00021
 10 52 32.30,+29 55 45.2, 0.00082
 14 26 30.23,+26 27 43.3,-0.00025
 15 44 03.40,+27 45 44.9, 0.00070
 11 36 03.83,+59 59 08.1,-0.00015
 08 16 25.40,+07 45 35.1, 0.00005
 13 38 44.92,+00 38 12.7, 0.00020
 11 07 39.52,+16 17 10.3,-0.00048
 08 25 37.26,+18 37 19.8, 0.00102
 16 35 51.84,+18 19 49.8,-0.00031
 12 51 39.34,+61 59 27.5,-0.00015
 09 32 17.17,+29 58 44.9, 0.00066
 12 35 30.55,+53 28 27.7,-0.00009
 13 21 44.96,+37 09 04.6,-0.00000
 09 24 11.82,+10 31 53.2,-0.00050
 00 34 51.86,-00 11 25.7,-0.00025
 08 17 02.52,+15 42 11.4,-0.00002
 16 02 05.87,+12 50 28.4,-0.00001
 12 47 15.39,+69 19 23.9, 0.00061
 14 22 05.10,+00 58 39.2,-0.00055
 08 02 33.78,+15 13 08.4, 0.00020
 11 35 43.23,+60 22 41.8,-0.00015
 13 59 06.63,+03 16 56.3,-0.00081
 11 29 39.85,+61 07 28.9, 0.00027
 14 51 50.52,+12 37 56.8, 0.00036
 09 26 56.58,+50 56 45.3,-0.00022
 14 00 08.04,+04 13 13.7,-0.00022
 17 15 16.69,+35 26 43.2, 0.00024
 09 35 26.50,+12 21 44.4, 0.00073
 14 06 42.65,+00 19 50.2,-0.00030
 16 07 14.12,+16 01 46.9, 0.00047
 15 11 33.07,+52 35 00.0, 0.00036
 12 39 14.04,+47 37 15.9,-0.00002
 08 37 21.02,+16 43 09.2,-0.00019
 13 48 14.11,+13 18 11.5,-0.00072
 16 17 05.70,+45 35 22.5, 0.00068
 09 13 34.78,+12 01 44.2, 0.00013
 09 21 38.40,+08 57 15.3, 0.00004
 08 54 22.94,+50 40 42.1,-0.00098
 09 25 05.46,+08 51 09.0,-0.00014
 16 24 46.23,+19 54 03.3,-0.00080
 16 31 45.17,+12 56 03.3, 0.00068
 16 01 34.18,+11 41 06.6, 0.00002
 14 51 15.25,+06 29 35.2, 0.00020
 17 17 06.73,+35 15 59.8, 0.00044
 13 54 38.07,+66 59 06.4,-0.00047
 13 47 00.26,+32 19 29.4,-0.00013
 09 47 12.58,+31 45 03.5, 0.00001
 09 28 47.02,+10 00 12.6, 0.00005
 13 49 34.53,+65 51 13.9,-0.00045
 14 08 37.33,+03 07 58.4, 0.00028
 13 44 37.12,+32 40 06.1, 0.00088
 07 37 33.02,+40 20 37.4, 0.00126
 08 35 30.89,+06 42 40.7,-0.00006
 08 35 54.39,+16 33 19.7,-0.00019
 12 01 23.24,+59 07 19.9, 0.00040
 09 15 55.19,+12 20 47.9, 0.00095
 09 40 47.83,-00 13 57.8,-0.00028
 11 10 15.30,+54 03 31.3,-0.00031
 09 47 45.85,+12 13 54.1, 0.00002
 15 04 31.91,+44 04 21.1,-0.00027
 08 58 54.85,+52 35 47.8,-0.00040
 16 04 21.17,+10 24 49.5,-0.00055
 13 43 45.33,+33 43 21.4, 0.00017
 16 24 42.21,+63 59 31.7,-0.00051
 15 13 49.55,+05 50 07.7,-0.00015
 11 14 43.21,+14 11 18.8,-0.00029
 12 22 58.23,+18 56 45.0,-0.00049
 08 00 44.73,+16 28 52.2, 0.00117
 12 52 06.96,+28 27 17.4,-0.00040
 14 09 19.40,+03 56 16.2, 0.00041
 08 12 49.64,+16 50 08.5,-0.00021
 15 51 54.13,+37 45 57.8,-0.00073
 13 44 59.12,+33 47 04.6,-0.00005
