Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation
SDSSJ115953.54+023935.4,179.973121,2.659855,115953.54+023935.4,179.97311401367200,2.6598548889160200,2.0785999298095700,1048580,0,1,-27.588356324291800,0,0,0.0,-26.78045860442270,-1.0,46.285916136823700,46.41467323229100,0.02512686716686550
SDSSJ120315.05+032756.5,180.812711,3.465715,120315.05+032756.5,180.81271362304700,3.465714931488040,2.0237998962402300,3145748,0,1,-27.239968362030500,0,1,2.1487432842377100,-26.948641152209900,19.090868428131500,46.056873289801400,46.29117807987860,0.009428925408796750
SDSSJ120648.98+013104.7,181.704107,1.517995,120648.98+013104.7,181.7041015625,1.517994999885560,1.840999960899350,4,0,1,-27.676956654651500,0,0,0.0,-26.60296419266860,-1.0,46.34291282724890,46.58503235385650,0.019568130232329400
SDSSJ120640.37+034323.0,181.668214,3.723071,120640.37+034323.0,181.668212890625,3.7230710983276400,1.836400032043460,1048580,0,1,-26.842342790150900,0,0,0.0,-26.984494830084000,-1.0,45.95708478952570,46.12547499138370,0.0040010109071455800
SDSSJ121024.13+033849.8,182.600557,3.647173,121024.13+033849.8,182.60055541992200,3.6471729278564500,1.6606999635696400,4,0,1,-26.81398939383440,0,0,0.0,-26.862487414254500,-1.0,46.003411129997600,46.25134914268750,0.0056826987338662100
SDSSJ120959.55+030249.5,182.49813,3.047111,120959.55+030249.5,182.4981231689450,3.0471110343933100,1.6620999574661300,1048580,0,1,-26.069179817245900,0,0,0.0,-27.199936755596900,-1.0,45.661545648634000,45.90718646555320,0.024557340253835500
SDSSJ121143.01+034348.5,182.929234,3.730146,121143.01+034348.5,182.92922973632800,3.7301459312439000,2.0169999599456800,1048580,0,1,-27.067593752648900,0,0,0.0,-26.949883683546400,-1.0,46.09034366792110,46.175113205514800,0.015318701780641000
SDSSJ121532.42+013221.9,183.885111,1.53943,121532.42+013221.9,183.88511657714800,1.539430022239690,1.731600046157840,1048580,0,1,-26.544095703485400,0,2,15.980495878360700,-27.121642512275600,211.46220853635000,45.799961568690200,46.084506994528300,0.020070647559786300
SDSSJ121430.32+015327.1,183.626358,1.890873,121430.32+015327.1,183.62635803222700,1.8908729553222700,1.9151999950408900,4,0,1,-26.707870909058800,0,0,0.0,-27.055104215640300,-1.0,45.95912006608750,46.10842610991930,1.9827863340429E-04
SDSSJ121108.24+022710.9,182.784339,2.453029,121108.24+022710.9,182.78433227539100,2.453028917312620,1.712399959564210,4,0,1,-27.617104630036600,0,0,0.0,-26.528168880029200,-1.0,46.360866627154,46.648030652614700,0.02418824177659800
SDSSJ122805.58+014119.2,187.023275,1.688667,122805.58+014119.2,187.0232696533200,1.6886670589447000,1.777400016784670,4,0,1,-27.791808518041900,0,0,0.0,-26.53009362431670,-1.0,46.40892610815790,46.66277062990610,0.0192408578068267
SDSSJ122934.73+015658.0,187.39471,1.949468,122934.73+015658.0,187.39471435546900,1.9494680166244500,1.9211000204086300,1048581,0,1,-27.067144983011400,0,0,0.0,-26.954506344258100,-1.0,46.05705025696260,46.28771620889850,0.015670726682006800
