col1,Name,RA_1_1,Dec_1_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA_1_2,Dec_1_2,r_z,Speak,e_Speak,Sint,e_Sint,Separation_1a,RA,DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,P_sidelobe,Separation
300,SDSSJ020357.97+140745.9,30.991545,14.129431,020357.97+140745.9,30.9915447235107,14.129430770874,1.65320003032684,1179652.0,0.0,1,-26.3394159201092,0.0,-1.0,0.0,-26.9866188557673,-1.0,45.8914786699293,46.1478971888767,0.0012696802052189,,,,,,,,,30.991589274931602,14.12950082784601,34.90212326302,0.32993639134,33.526203442459995,0.14429230941,-1.0,0.29509861593562015
7897,SDSSJ032125.79+001359.3,50.357484,0.233149,032125.79+001359.3,50.3574829101563,0.233149006962776,1.70969998836517,1048580.0,0.0,1,-26.3935330542741,0.0,-1.0,0.0,-27.0624767694926,-1.0,45.816501903285,45.9712618157104,0.0039234850745622,,,,,,,,,50.35751316312458,0.23315949795485,2.12927629065,0.29407618014000003,2.15806570382,0.17009502974000004,0.01,0.11158146473113838
3575,SDSSJ165913.85+171415.0,254.807743,17.237524,165913.85+171415.0,254.807739257813,17.2375240325928,2.01850008964539,1048586.0,1.0,1,-27.0571330081673,0.0,1.0,178.111043332463,-26.8648581110057,1304.81505406259,46.143643004203696,46.4236105378202,0.0128673137438099,,,,,,,,,254.8077925238368,17.237546829096857,130.84948747581998,0.28010335398,124.35721002868999,0.14444354747000002,-1.0,0.18907387887538168
2770,SDSSJ103038.38+085324.9,157.659933,8.890258,103038.38+085324.9,157.659927368164,8.89025783538818,1.74989998340607,11.0,1.0,1,-26.8233943744839,0.0,2.0,167.833496821496,-26.941180556762,1465.74762779095,45.9940583719106,46.0555501723897,0.0200397973175332,,,,,,,,,157.65987568551148,8.89028145721622,103.94021102522998,0.5109060090199999,98.60380920370001,0.15250474098,-1.0,0.22065197763881828
7902,SDSSJ081756.45+453118.0,124.485244,45.521677,081756.45+453118.0,124.485244750977,45.5216751098633,1.66380000114441,3145748.0,0.0,1,-27.0138541547355,0.0,1.0,12.9732170687756,-26.7566088234646,74.0724156777061,46.1228428379216,46.3531488370195,0.0070632193583498,,,,,,,,,124.48518704119628,45.5216532748928,10.276286310440002,0.26321881701,9.47555225387,0.14192291909000002,-1.0,0.1671383633708497
721,SDSSJ125414.27+024117.5,193.559492,2.688214,125414.27+024117.5,193.559494018555,2.68821406364441,1.84080004692078,3145748.0,0.0,1,-27.1884204898541,0.0,1.0,7.9055238829423,-26.8458075907246,55.4291534423341,46.1252753434479,46.2730507683907,0.0072624152555259,,,,,,,,,193.5595449779266,2.68828057455147,9.9636410891,0.2696582108,9.598676008830001,0.14905127008000002,-1.0,0.30616211889148415
8061,SDSSJ165820.35+373315.5,254.58481,37.554313,165820.35+373315.5,254.584808349609,37.554313659668,1.71089994907379,20.0,0.0,1,-26.2976850426163,0.0,2.0,11.544885981001,-27.200223928649,183.068480471588,45.6634123254109,46.0242788034864,0.0052750087243318,,,,,,,,,254.5847401304887,37.554348494167186,4.4730684521800015,0.26118882073000005,3.1170556100300004,0.11554346472000004,-1.0,0.23683465229522732
248,SDSSJ012841.87-003317.1,22.174459,-0.554759,012841.87-003317.1,22.1744594573975,-0.554759025573731,1.65610003471375,20.0,0.0,1,-27.0087334787554,1.0,1.0,2.58375417292555,-26.8103637532509,16.6960964270494,46.1180389701978,45.7095728544197,0.0016491255417855,,,,,,,,,22.174475326954607,-0.55474910901156,2.14391363836,0.27614682525,1.52161489483,0.12539034376,-1.0,0.06871909766910476
5664,SDSSJ144759.91+255050.0,221.999664,25.84724,144759.91+255050.0,221.999664306641,25.847240447998,2.04670000076294,10.0,1.0,1,-27.3679176076973,0.0,1.0,6.27507278945507,-26.8302245881221,42.4466437195832,46.2380217621357,46.3805547554247,0.0018942243680754,,,,,,,,,221.99968650566143,25.84725288440382,8.38437731948,0.22916236087000005,8.02468205434,0.12443622229999995,-1.0,0.0864179897775416
106,SDSSJ112325.94-031548.6,170.858104,-3.263524,112325.94-031548.6,170.858108520508,-3.26352405548096,1.77090001106262,7700.0,0.0,1,-28.2562653493093,0.0,1.0,17.3771786174509,-26.2971108428829,34.4421384416734,46.6258323779478,46.7404320992779,0.0162486638448535,,,,,,,,,170.85821941612988,-3.26340523538608,11.81490787682,0.23780356950999998,11.08264774431,0.12238602271,-1.0,0.5957183927015398
7775,SDSSJ231241.77+002450.3,348.174065,0.413983,231241.77+002450.3,348.174072265625,0.41398298740387,1.89950001239777,3276820.0,0.0,1,-27.09023650176,0.0,1.0,1.40503879088416,-27.0657529649642,16.3471210867062,45.9288772688094,45.9530374131476,0.0261556066234396,,,,,,,,,348.1740609532912,0.41406043611465,1.8091483016800003,0.17764142446000006,1.65237698878,0.09538082496,-1.0,0.2791503895078075
2361,SDSSJ101946.98+494848.6,154.945784,49.813513,101946.98+494848.6,154.945785522461,49.813514709472706,1.64269995689392,1048586.0,1.0,1,-26.6345476434195,0.0,1.0,2.42051490535581,-26.8690401217318,17.9039098766481,45.942395122546706,46.2222964785452,0.0070979601665365,,,,,,,,,154.9458134416539,49.81351840488529,1.69229826695,0.23883016098999998,1.54618344562,0.12960716315999998,-1.0,0.07110689739604413
