,col1,Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA,Dec,z_paul,CIV_blue,CIV_EW,CIV_Distance,Separation_1a,NVSSff (Jy/beam,RA2000_1,DEC2000_1,Separation_1b,Dec+1,RA2000x,DEC2000x,NVSSblank (Jy/beam),RA2000_2,DEC2000_2,Separation_1c,r_z,Separation_1d,Peak_flux,E_Peak_flux,Separation,Integration Time (min)
1044,830,SDSSJ083649.56+484154.1,129.206525,48.698365,083649.56+484154.1,129.206527709961,48.6983642578125,1.71080005168915,134224900.0,0.0,1,-27.2189881805137,0.0,0.0,0.0,-26.7954146478982,-1.0,46.0840573828429,46.213589977870704,0.0069714295575403,129.206525,48.698365,1.71567,1489.8346468779228,37.59408502018512,0.6560456358408482,0.0,0.0009,129.20654166666665,48.698361111111105,0.04200321318378413,49.698365,08:36:49.57,+49:41:54.1,,,,,,,,,,65.0
1251,3935,SDSSJ141556.63+484429.4,213.98596,48.741509,141556.63+484429.4,213.98596191406298,48.7415084838867,1.7125999927520799,1048579.0,1.0,1,-26.6069996340175,0.0,0.0,0.0,-27.057071154970103,-1.0,45.880228907208995,45.94421808930739,0.0049092553498417,213.98596,48.741509,1.70392,-11.658733825488758,63.84199964191128,0.4137776488304475,0.0,0.00074,213.98595833333331,48.7415,0.032640708020203205,49.741509,14:15:56.63,+49:44:29.4,,,,,DR7Q,0.0049092553498417185,0.8893126532459297,0.08120066514470764,0.0049092553498417185,4.5
1395,1133,SDSSJ162732.88+482836.9,246.887006,48.476921999999995,162732.88+482836.9,246.887008666992,48.476921081543,1.6732000112533603,1048580.0,0.0,1,-27.3931182807362,0.0,0.0,0.0,-26.637856429271302,-1.0,46.25572330961229,46.525431100074904,0.0071724176739254,246.88700760233115,48.476925750968505,1.6766400000000001,703.0461724300593,40.573160557937854,0.5637211593782869,0.014034495527220744,-0.00053,246.887,48.47691666666667,0.023951552674474116,49.476921999999995,16:27:32.88,+49:28:36.9,,,,,,,,,,65.0
1742,1502,SDSSJ090304.61+480336.5,135.769239,48.060148,090304.61+480336.5,135.769241333008,48.0601463317871,1.73580002784729,1048578.0,1.0,1,-26.5310368131993,0.0,0.0,0.0,-27.0153666162321,-1.0,45.8676145116226,46.1180123485969,0.0082204995431699,,,,,,,,0.00065,135.76925000000003,48.06013888888889,0.04214646400220297,49.060148,09:03:04.62,+49:03:36.5,,,,,,,,,,65.0
1744,1504,SDSSJ091003.60+501320.1,137.515027,50.222259,091003.60+501320.1,137.515029907227,50.222259521484396,1.65910005569458,1048579.0,1.0,1,-26.5692060990672,0.0,0.0,0.0,-27.001205276832,-1.0,45.86468073829351,46.196996786913395,0.0069544591335748,,,,,,,,-0.00098,137.5150416666667,50.22225,0.046807967109151236,51.222259,09:10:03.61,+51:13:20.1,,,,,,,,,,65.0
1850,1614,SDSSJ155402.58+482951.0,238.510773,48.497523,155402.58+482951.0,238.510772705078,48.4975242614746,1.7423000335693402,3.0,1.0,1,-27.350069081030302,1.0,0.0,0.0,-26.719840735534397,-1.0,46.2130322990795,46.2670723740862,0.0045954833507606,238.510773,48.497523,1.74816,1157.3512202981158,38.68622878182519,0.6182250194709364,0.0,0.00044,238.51079166666665,48.497527777777776,0.04773659351778264,49.497523,15:54:02.59,+49:29:51.1,,,,,,,,,,65.0
1851,1615,SDSSJ155237.65+481135.0,238.15689500000002,48.193071,155237.65+481135.0,238.156890869141,48.19306945800779,1.73969995975494,1048579.0,1.0,1,-26.495640139531805,0.0,0.0,0.0,-27.0107209137523,-1.0,45.935563874123,46.134730019013205,0.0113618290795949,238.15689500000002,48.193071,1.73645,760.6728123290852,49.916530004484116,0.5323103466961967,0.0,0.00035,238.15687500000004,48.19308333333333,0.06538390466485765,49.193071,15:52:37.65,+49:11:35.1,,,,,,,,,,65.0
1852,1616,SDSSJ154810.92+482528.1,237.045528,48.424483,154810.92+482528.1,237.04553222656298,48.42448425292971,1.7458000183105502,3.0,1.0,1,-26.2512307668772,0.0,0.0,0.0,-27.1713661618437,-1.0,45.73770881961389,45.990381687905504,0.0110588545837326,237.045528,48.424483,1.7470400000000001,640.348018962491,34.939609272655375,0.582574000583232,0.0,-0.0003,237.04554166666668,48.42447222222222,0.05070923498567166,49.424483,15:48:10.93,+49:25:28.1,,,,,,,,,,65.0
1856,1620,SDSSJ155330.43+501227.0,238.376833,50.207527,155330.43+501227.0,238.37683105468798,50.2075271606445,1.7131999731063798,1048579.0,1.0,1,-26.3525134562645,0.0,0.0,0.0,-27.0266161581138,-1.0,45.876637304204294,46.13160813558889,0.0045192176431902,238.376833,50.207527,1.70996,653.1884826202561,50.14212203335539,0.5194425293623974,0.0,7e-05,238.3768333333334,50.20752777777778,0.002903418748991276,51.207527,15:53:30.44,+51:12:27.1,,,,,,,,,,65.0
2080,1824,SDSSJ103833.10+484152.3,159.637945,48.697875,103833.10+484152.3,159.637939453125,48.6978759765625,1.7452000379562398,1048579.0,1.0,1,-27.5942151965981,0.0,0.0,0.0,-26.616248520666698,-1.0,46.3233918566401,46.38279884768471,0.0136407875425919,159.63793875892054,48.69788945797674,1.75925,2944.347606042092,17.751472862379003,0.9323882094558564,0.05412006958019452,0.00033999999999999997,159.6379583333334,48.69788888888888,0.059192161094370935,49.697875,10:38:33.11,+49:41:52.3,,,,,,,,,,65.0
