,col1,Name,RA_1_1,Dec_1_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA_1_2,Dec_1_2,r_z,Speak,e_Speak,Sint,e_Sint,Separation_1a,RA,DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,P_sidelobe,Separation
1068,840,SDSSJ090358.36+511603.0,135.993202,51.267525,090358.36+511603.0,135.993194580078,51.2675247192383,1.73919999599457,1048580.0,0.0,1,-26.3366898665234,0.0,0.0,0.0,-27.1539476499303,-1.0,45.7755053257104,45.964292975509,0.0167436540407959,,,,,,,,,,,,,,,,
1226,3935,SDSSJ141556.63+484429.4,213.98596,48.741509,141556.63+484429.4,213.985961914063,48.7415084838867,1.71259999275208,1048579.0,1.0,1,-26.6069996340175,0.0,0.0,0.0,-27.0570711549701,-1.0,45.880228907209,45.9442180893074,0.0049092553498417,213.98596,48.741509,DR7Q,0.9,0.1,1.1,0.1,0.0,,,,,,,,
1341,1112,SDSSJ155422.72+525055.7,238.594703,52.848808,155422.72+525055.7,238.594696044922,52.8488082885742,1.65409994125366,1048580.0,0.0,1,-27.330913072415,1.0,0.0,0.0,-26.6116716837585,-1.0,46.2877110068044,46.4774813406547,0.01515677256745,,,,,,,,,,,,,,,,
1360,1133,SDSSJ162732.88+482836.9,246.887006,48.476922,162732.88+482836.9,246.887008666992,48.476921081543,1.67320001125336,1048580.0,0.0,1,-27.3931182807362,0.0,0.0,0.0,-26.6378564292713,-1.0,46.2557233096123,46.5254311000749,0.0071724176739254,,,,,,,,,,,,,,,,
1451,1850,SDSSJ123530.55+522827.7,188.877298,52.474373,123530.55+522827.7,188.877304077148,52.4743728637695,1.65069997310638,11.0,1.0,1,-27.5725533024019,0.0,1.0,74.8311857302745,-26.6316317656858,320.416146117657,46.283771986339104,46.069164622894704,0.0133351041598466,188.877298,52.474373,VI,,,,,0.0,188.8774013827644,52.47435056192597,86.90660618028,0.29260601239,84.75376961971,0.1272009249099999,-1.0,0.240660925165463
1701,2856,SDSSJ133420.86+485254.9,203.586922,48.881938,133420.86+485254.9,203.586929321289,48.8819389343262,1.69700002670288,2097162.0,1.0,1,-27.0082808513305,0.0,1.0,30.9273398101272,-26.7861579322227,189.016840012882,46.1240643988623,46.3397212450033,0.0176558181362122,203.586922,48.881938,DR7Q,,,,,0.0,203.5869776503736,48.88191090214461,29.414263781060004,0.21185156369,28.04931367466,0.11784017578,-1.0,0.1639321065505939
1710,1501,SDSSJ085952.29+485046.7,134.967902,48.84633,085952.29+485046.7,134.967895507813,48.8463287353516,1.69110000133514,3.0,1.0,1,-26.5252836818748,0.0,0.0,0.0,-27.0440425059711,-1.0,45.8450735935192,46.0266675009195,0.0160402534105373,,,,,,,,,,,,,,,,
1711,1502,SDSSJ090304.61+480336.5,135.769239,48.060148,090304.61+480336.5,135.769241333008,48.0601463317871,1.73580002784729,1048578.0,1.0,1,-26.5310368131993,0.0,0.0,0.0,-27.0153666162321,-1.0,45.8676145116226,46.1180123485969,0.0082204995431699,,,,,,,,,,,,,,,,
1713,1504,SDSSJ091003.60+501320.1,137.515027,50.222259,091003.60+501320.1,137.515029907227,50.2222595214844,1.65910005569458,1048579.0,1.0,1,-26.5692060990672,0.0,0.0,0.0,-27.001205276832,-1.0,45.8646807382935,46.1969967869134,0.0069544591335748,,,,,,,,,,,,,,,,
1717,1508,SDSSJ091443.18+513049.3,138.679941,51.5137,091443.18+513049.3,138.679946899414,51.5136985778809,1.70229995250702,1048579.0,1.0,1,-26.7740566417058,0.0,0.0,0.0,-26.8953821358025,-1.0,46.0067330370597,46.1635293112669,0.0141738372358554,,,,,,,,,,,,,,,,
1802,1606,SDSSJ153546.25+513418.0,233.942733,51.571689,153546.25+513418.0,233.942733764648,51.5716896057129,1.71850001811981,3.0,1.0,1,-26.4460240951096,0.0,0.0,0.0,-27.0232676415376,-1.0,45.9010781975881,46.0996126399611,0.002771663624067,,,,,,,,,,,,,,,,
